evalMode,method,seq_pos,pid,order,a,r,f,y,z,u,T1,class,weight,base_est,slack,deadline,aisle_switch,cum_time_end
aisle,DHGA,120,228,67,5,4,B,2,2,2,0.589840,loose,1,9.865909,7.905959,77.999470,0,119.004520
aisle,DHGA,121,141,42,5,5,A,3,3,1,0.731600,loose,1,9.865909,7.129604,70.340021,0,119.736120
aisle,DHGA,122,122,36,5,5,A,2,2,1,0.597800,loose,1,6.094233,9.439507,57.526557,0,120.333920
aisle,DHGA,123,78,22,15,15,A,2,1,2,0.681400,medium,2,9.865909,4.310064,42.522703,1,122.340320
aisle,DHGA,124,200,60,15,14,B,2,3,2,0.888040,loose,1,9.865909,8.641997,85.261149,0,123.228360
aisle,DHGA,125,202,60,15,14,B,3,3,1,0.898640,loose,1,9.865909,8.641997,85.261149,0,124.127000
aisle,DHGA,126,211,63,15,15,A,3,3,2,0.927800,loose,1,9.865909,8.220331,81.101036,0,125.054800
aisle,DHGA,127,284,86,15,15,A,3,2,2,0.815200,loose,1,9.865909,7.718536,76.150376,0,125.870000
aisle,DHGA,128,216,64,15,15,A,2,4,1,1.008600,loose,1,9.865909,6.883908,67.916012,0,126.878600
aisle,DHGA,129,123,36,15,14,B,2,2,2,0.775440,loose,1,6.094233,9.439507,57.526557,0,127.654040
aisle,DHGA,130,80,23,15,14,B,1,1,1,0.631040,loose,1,6.094233,9.397097,57.268101,0,128.285080
aisle,DHGA,131,208,62,15,14,B,1,3,2,0.866840,loose,1,6.094233,6.440355,39.249027,0,129.151920
aisle,DHGA,132,83,24,15,15,A,2,1,1,0.670800,loose,1,4.123914,6.605599,27.240923,0,129.822720
aisle,DHGA,133,166,50,15,14,B,3,2,1,0.786040,loose,1,2.093505,8.302686,17.381714,0,130.608760
aisle,DHGA,134,259,78,6,6,A,2,2,2,0.626960,loose,1,9.865909,8.759641,86.421820,1,132.560720
aisle,DHGA,135,69,20,6,5,B,1,2,1,0.576600,loose,1,9.865909,8.697700,85.810710,0,133.137320
aisle,DHGA,136,115,34,6,5,B,3,1,1,0.506400,loose,1,6.094233,8.789858,53.567448,0,133.643720
aisle,DHGA,137,188,57,6,5,B,2,3,1,0.710400,loose,1,6.094233,7.309567,44.546206,0,134.354120
aisle,DHGA,138,68,20,8,7,B,1,1,2,0.511720,loose,1,9.865909,8.697700,85.810710,1,136.190840
aisle,DHGA,139,143,42,8,7,B,3,3,2,0.779320,loose,1,9.865909,7.129604,70.340021,0,136.970160
aisle,DHGA,140,94,28,8,8,A,3,4,1,0.899880,urgent,5,6.094233,1.862284,11.349192,0,137.870040
aisle,DHGA,141,61,19,4,3,B,3,1,2,0.479880,loose,1,9.865909,8.319110,82.075582,1,139.674920
aisle,DHGA,142,11,4,4,3,B,3,1,1,0.469280,urgent,5,9.865909,1.478346,14.585231,0,140.144200
aisle,DHGA,143,6,3,4,4,A,2,4,2,0.815040,loose,1,2.093505,6.748726,14.128491,0,140.959240
aisle,DHGA,144,114,34,4,3,B,1,4,1,0.764680,loose,1,6.094233,8.789858,53.567448,0,141.723920
aisle,DHGA,145,62,19,2,1,B,1,2,1,0.502360,loose,1,9.865909,8.319110,82.075582,1,143.551280
aisle,DHGA,146,264,79,2,2,A,1,2,2,0.531520,loose,1,8.007323,9.361166,74.957879,0,144.082800
aisle,DHGA,147,60,19,3,2,B,2,2,2,0.552720,loose,1,9.865909,8.319110,82.075582,1,145.960520
aisle,DHGA,148,224,67,3,2,B,2,3,1,0.654720,loose,1,9.865909,7.905959,77.999470,0,146.615240
aisle,DHGA,149,266,79,3,3,A,3,1,2,0.479880,loose,1,8.007323,9.361166,74.957879,0,147.095120
aisle,DHGA,150,219,64,3,2,B,1,1,2,0.418920,loose,1,9.865909,6.883908,67.916012,0,147.514040
aisle,DHGA,151,274,83,3,2,B,1,4,1,0.746120,loose,1,6.094233,9.431478,57.477629,0,148.260160
aisle,DHGA,152,230,68,3,3,A,1,3,2,0.662680,loose,1,6.094233,7.976910,48.613150,0,148.922840
aisle,DHGA,153,161,47,3,3,A,2,4,1,0.785880,loose,1,2.093505,8.182384,17.129862,0,149.708720
aisle,DHGA,154,179,54,9,9,A,1,3,2,0.774040,medium,2,2.093505,3.922387,8.211536,1,151.807760
aisle,DHGA,155,15,5,9,8,B,2,1,2,0.551480,loose,1,8.007323,9.250194,74.069295,0,152.359240
aisle,DHGA,156,42,12,9,8,B,3,1,1,0.562080,loose,1,8.007323,9.185682,73.552724,0,152.921320
aisle,DHGA,157,144,42,9,9,A,3,3,2,0.816440,loose,1,9.865909,7.129604,70.340021,0,153.737760
aisle,DHGA,158,72,21,9,8,B,2,3,2,0.776680,loose,1,8.007323,7.194422,57.608059,0,154.514440
aisle,DHGA,159,40,12,11,11,A,2,1,1,0.596560,loose,1,8.007323,9.185682,73.552724,1,156.436000
aisle,DHGA,160,43,12,11,11,A,3,4,2,0.966160,loose,1,8.007323,9.185682,73.552724,0,157.402160
aisle,DHGA,161,71,21,11,10,B,2,2,2,0.701200,loose,1,8.007323,7.194422,57.608059,0,158.103360
aisle,DHGA,162,189,57,11,10,B,3,2,1,0.711800,loose,1,6.094233,7.309567,44.546206,0,158.815160
aisle,DHGA,163,271,82,7,6,B,3,1,2,0.535560,loose,1,6.094233,7.887403,48.067677,1,160.675720
aisle,DHGA,164,140,42,7,7,A,1,1,2,0.511720,loose,1,9.865909,7.129604,70.340021,0,161.187440
aisle,DHGA,165,142,42,7,6,B,3,2,2,0.648160,loose,1,9.865909,7.129604,70.340021,0,161.835600
aisle,DHGA,166,70,21,7,7,A,1,4,2,0.849520,loose,1,8.007323,7.194422,57.608059,0,162.685120
aisle,DHGA,167,275,83,7,7,A,3,3,1,0.768720,loose,1,6.094233,9.431478,57.477629,0,163.453840
aisle,DHGA,168,116,34,7,6,B,2,2,2,0.626960,loose,1,6.094233,8.789858,53.567448,0,164.080800
aisle,DHGA,169,45,14,17,17,A,3,4,1,1.066920,loose,1,2.093505,7.705379,16.131247,1,166.472720
aisle,DHGA,170,131,37,17,16,B,1,2,1,0.780760,medium,2,13.429826,3.338419,44.834391,0,167.253480
aisle,DHGA,171,165,49,17,16,B,1,3,2,0.903960,medium,2,6.094233,4.154172,25.316491,0,168.157440
aisle,DHGA,172,91,27,17,17,A,3,1,2,0.739720,medium,2,4.123914,4.334859,17.876587,0,168.897160
